PassengerId,Survived,Ticket_class,Sex,Age,Siblings_Spouses,Parents_Children,Ticket,Fare,Embarked
1,No,3rd,Male,22.0,1,0,521171,7.25,Southampton
2,Yes,1st,Female,38.0,1,0,17599,71.2833,Cherbourg
3,Yes,3rd,Female,26.0,0,0,23101282,7.925,Southampton
4,Yes,1st,Female,35.0,1,0,113803,53.1,Southampton
5,No,3rd,Male,35.0,0,0,373450,8.05,Southampton
7,No,1st,Male,54.0,0,0,17463,51.8625,Southampton
8,No,3rd,Male,2.0,3,1,349909,21.075,Southampton
9,Yes,3rd,Female,27.0,0,2,347742,11.1333,Southampton
10,Yes,2nd,Female,14.0,1,0,237736,30.0708,Cherbourg
11,Yes,3rd,Female,4.0,1,1,9549,16.7,Southampton
12,Yes,1st,Female,58.0,0,0,113783,26.55,Southampton
13,No,3rd,Male,20.0,0,0,52151,8.05,Southampton
14,No,3rd,Male,39.0,1,5,347082,31.275,Southampton
15,No,3rd,Female,14.0,0,0,350406,7.8542,Southampton
16,Yes,2nd,Female,55.0,0,0,248706,16.0,Southampton
17,No,3rd,Male,2.0,4,1,382652,29.125,Queenstown
19,No,3rd,Female,31.0,1,0,345763,18.0,Southampton
21,No,2nd,Male,35.0,0,0,239865,26.0,Southampton
22,Yes,2nd,Male,34.0,0,0,248698,13.0,Southampton
23,Yes,3rd,Female,15.0,0,0,330923,8.0292,Queenstown
24,Yes,1st,Male,28.0,0,0,113788,35.5,Southampton
25,No,3rd,Female,8.0,3,1,349909,21.075,Southampton
26,Yes,3rd,Female,38.0,1,5,347077,31.3875,Southampton
28,No,1st,Male,19.0,3,2,19950,263.0,Southampton
31,No,1st,Male,40.0,0,0,17601,27.7208,Cherbourg
34,No,2nd,Male,66.0,0,0,24579,10.5,Southampton
35,No,1st,Male,28.0,1,0,17604,82.1708,Cherbourg
36,No,1st,Male,42.0,1,0,113789,52.0,Southampton
38,No,3rd,Male,21.0,0,0,52152,8.05,Southampton
39,No,3rd,Female,18.0,2,0,345764,18.0,Southampton
40,Yes,3rd,Female,14.0,1,0,2651,11.2417,Cherbourg
41,No,3rd,Female,40.0,1,0,7546,9.475,Southampton
42,No,2nd,Female,27.0,1,0,11668,21.0,Southampton
44,Yes,2nd,Female,3.0,1,2,2123,41.5792,Cherbourg
45,Yes,3rd,Female,19.0,0,0,330958,7.8792,Queenstown
50,No,3rd,Female,18.0,1,0,349237,17.8,Southampton
51,No,3rd,Male,7.0,4,1,3101295,39.6875,Southampton
52,No,3rd,Male,21.0,0,0,439886,7.8,Southampton
53,Yes,1st,Female,49.0,1,0,17572,76.7292,Cherbourg
54,Yes,2nd,Female,29.0,1,0,2926,26.0,Southampton
55,No,1st,Male,65.0,0,1,113509,61.9792,Cherbourg
57,Yes,2nd,Female,21.0,0,0,31026,10.5,Southampton
58,No,3rd,Male,28.5,0,0,2697,7.2292,Cherbourg
59,Yes,2nd,Female,5.0,1,2,34651,27.75,Southampton
60,No,3rd,Male,11.0,5,2,2144,46.9,Southampton
61,No,3rd,Male,22.0,0,0,2669,7.2292,Cherbourg
63,No,1st,Male,45.0,1,0,36973,83.475,Southampton
64,No,3rd,Male,4.0,3,2,347088,27.9,Southampton
67,Yes,2nd,Female,29.0,0,0,29395,10.5,Southampton
68,No,3rd,Male,19.0,0,0,3464,8.1583,Southampton
69,Yes,3rd,Female,17.0,4,2,3101281,7.925,Southampton
70,No,3rd,Male,26.0,2,0,315151,8.6625,Southampton
71,No,2nd,Male,32.0,0,0,33111,10.5,Southampton
72,No,3rd,Female,16.0,5,2,2144,46.9,Southampton
73,No,2nd,Male,21.0,0,0,14879,73.5,Southampton
74,No,3rd,Male,26.0,1,0,2680,14.4542,Cherbourg
75,Yes,3rd,Male,32.0,0,0,1601,56.4958,Southampton
76,No,3rd,Male,25.0,0,0,348123,7.65,Southampton
79,Yes,2nd,Male,0.83,0,2,248738,29.0,Southampton
80,Yes,3rd,Female,30.0,0,0,364516,12.475,Southampton
81,No,3rd,Male,22.0,0,0,345767,9.0,Southampton
82,Yes,3rd,Male,29.0,0,0,345779,9.5,Southampton
84,No,1st,Male,28.0,0,0,113059,47.1,Southampton
85,Yes,2nd,Female,17.0,0,0,14885,10.5,Southampton
86,Yes,3rd,Female,33.0,3,0,3101278,15.85,Southampton
